genre,artist_name,track_name,track_id,popularity,danceability,duration_ms,energy,liveness,loudness,tempo,year,image_url
Movie,Debbie Davis,I'll Feel Much Better When You Cry,23YuvN1cvAocACyKpYqzvu,3,0.555,278160,0.773,0.0929,-5.438,120.07,2012.0,https://i.scdn.co/image/ab67616d00001e02855315d04a53702483e739b8
R&B,Layton Greene,Roll In Peace,33YFwLJbAdgePluIuEVa9p,60,0.523,170343,0.507,0.0774,-6.448,140.368,2018.0,https://i.scdn.co/image/ab67616d00001e02812fb252270721dfeb0b079b
R&B,Mariah Carey,Hero,4FCb4CUbFCMNRkI6lYc1zI,71,0.501,257733,0.378,0.119,-9.37,119.987,1993.0,https://i.scdn.co/image/ab67616d00001e020f688fa11af022f0210e21cb
R&B,Beyoncé,Flawless Remix,0zVMzJ37VQNFUNvdxxat2E,69,0.639,234413,0.659,0.484,-7.273,136.801,2014.0,https://i.scdn.co/image/ab67616d00001e020d1d6e9325275f104f8e33f3
R&B,SZA,Childs Play (feat. Chance the Rapper),7GPstnufSTScEaw9dMxO9H,65,0.759,216234,0.342,0.112,-9.044,99.995,2014.0,https://i.scdn.co/image/ab67616d00001e0232f1a3721efb2ddfb91b9c82
R&B,Joji,SLOW DANCING IN THE DARK - Loud Luxury Remix,59pC3ONM6ggVn0CYi0l1KD,65,0.752,176414,0.883,0.167,-4.45,122.026,2018.0,https://i.scdn.co/image/ab67616d00001e0230655e8c213d5b23b750879c
R&B,Jennifer Lopez,Dinero,22mQXNE0nCuWq4yOwcadIn,70,0.721,213750,0.881,0.292,-2.528,127.759,2018.0,https://i.scdn.co/image/ab67616d00001e024a729ab5bbf4ce1d75c849d9
R&B,TLC,Creep,1aWV3uY3SIEZVbmv45oFWS,68,0.811,268533,0.458,0.0526,-9.688,92.94,1994.0,https://i.scdn.co/image/ab67616d00001e02a6125b1964a555892c49ea53
R&B,Steve Lacy,Some,4riDfclV7kPDT9D58FpmHd,63,0.784,118393,0.554,0.0995,-6.417,104.01,2016.0,https://i.scdn.co/image/ab67616d00001e027c0c6c1cfac7464b6211587d
R&B,H.E.R.,2,2YyNFk4HBKXrqgsvPDNJtO,61,0.794,188987,0.448,0.128,-7.401,149.975,2017.0,https://i.scdn.co/image/ab67616d00001e02b5d9c8de465654c20d77305c
R&B,Kelly Clarkson,Love So Soft,16QN8cBubEq706vNtPpOME,67,0.808,172427,0.581,0.0828,-5.43,130.012,2017.0,https://i.scdn.co/image/ab67616d00001e021b808f1c7fff4f3e81f79523
